"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4","SD_A17","SD_dmi2","SD_dmi3","SD_ipd3","SD_lyk3","SD_nfp","SD_pt4","Level_A17","Level_dmi2","Level_dmi3","Level_ipd3","Level_lyk3","Level_nfp","Level_pt4","Chisq","p.chisq","Chisq_A17_lyk3","p.chisq_A17_lyk3","Chisq_A17_nfp","p.chisq_A17_nfp","Chisq_A17_ipd3","p.chisq_A17_ipd3","Chisq_A17_dmi2","p.chisq_A17_dmi2","Chisq_A17_dmi3","p.chisq_A17_dmi3","Chisq_A17_pt4","p.chisq_A17_pt4"
"Bradyrhizobium_diazoefficiens","3029064.03918344","0","0","1132569.20014197","2252601.49247946","2871268.14010868","0","6773193.09981426","0","0","2532501.72074","5036970.06340155","6420350.7429124","0","a","a","a","a","a","a","a","3.30642201834857","0.769520463558048","0.0222222222222273","0.881497452191","0.0222222222222273","0.881497452191","0.0222222222222273","0.881497452191","1","0.317310507862914","1","0.317310507862914","1","0.317310507862914"
"Bradyrhizobium_elkanii","199024.778555312","311203.24138035","0","444336.90621811","0","0","0","445032.934056519","695871.602544738","0","993567.527215643","0","0","0","a","a","a","a","a","a","a","4.25605700712588","0.642068689850665","1","0.317310507862914","1","0.317310507862914","0.0222222222222273","0.881497452191","0.0222222222222273","0.881497452191","1","0.317310507862914","1","0.317310507862914"
"Bradyrhizobium_huanghuaihaiense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradyrhizobium_japonicum","708747.036281968","2069651.69108154","0","307617.858150998","0","0","0","972698.020615509","3847594.77391297","0","687854.441918519","0","0","0","a","a","a","a","a","a","a","8.73844990548203","0.188830545036376","2.22222222222222","0.136037128114145","2.22222222222222","0.136037128114145","0.809174311926602","0.368364478258905","0","1","2.22222222222222","0.136037128114145","2.22222222222222","0.136037128114145"
"Bradyrhizobium_jicamae","1072223.03323997","597510.223450272","0","700685.121343942","0","1136543.63879302","923482.78358574","1544489.84888308","1336073.4768859","0","1566779.56214774","0","2541388.83573616","2064970.28014844","a","a","a","a","a","a","a","3.48831168831169","0.745524119962503","2.22222222222222","0.136037128114145","0.148623853211005","0.69985393738163","0.148623853211005","0.69985393738163","0.412844036697248","0.520529502997093","2.22222222222222","0.136037128114145","0.148623853211005","0.69985393738163"
"Bradyrhizobium_lablabi","2241738.43229134","3072228.88534288","3804324.1871678","4465619.89239508","4412634.36700634","7172516.16663021","1393357.43065085","2065216.64151125","3744259.37703597","1856095.70611877","2622182.05556999","1726903.87326688","7153283.83307796","1984454.14465562","a","a","a","a","a","a","a","7.18396386222475","0.304169035916973","2.46951219512195","0.116073943309901","1.85487804878049","0.1732171126447","1.32804878048781","0.249152638581926","0.0116129032258091","0.914183549889673","0.537804878048778","0.463343882565218","0.310344827586207","0.5774686624273"
"Bradyrhizobium_yuanmingense","331460.197751004","273858.852414708","84612.4461397834","480927.288695236","233131.737587536","1506798.12554518","0","741167.534006768","612367.010239369","189199.181311095","690193.018920837","521298.412958373","2288316.34804882","0","a","a","a","a","a","a","a","5.68037959667851","0.459928864160829","0.0222222222222273","0.881497452191","1.12153846153846","0.289587424426887","0.148623853211005","0.69985393738163","0.0222222222222273","0.881497452191","0.0222222222222273","0.881497452191","1","0.317310507862914"
"Mesorhizobium_huakuii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesorhizobium_plurifarium","0","722698.708261302","321681.21898836","0","426494.914266938","0","0","0","1065459.6450119","719301.072742969","0","953671.620358818","0","0","a","a","a","a","a","a","a","7.09944954128441","0.311748065867661","1","0.317310507862914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesorhizobium_silamurunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neorhizobium_vignae","0","0","0","38987.9006964024","0","0","0","0","0","0","87179.5962571672","0","0","0","a","a","a","a","a","a","a","6","0.423190081126844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pararhizobium_giardinii","3737165.38552327","2488932.6863535","2625642.44530707","3476159.3946937","3845534.83827352","3402373.81114394","1319183.95224666","1118884.99111117","1082958.53435276","1152151.51195265","1465264.14565551","2579858.61771417","2252131.79922229","643758.323937508","a","a","a","a","a","a","a","10.2514285714286","0.114455372111037","0.272727272727273","0.60150813444059","0.0981818181818157","0.754022530062078","0.272727272727273","0.60150813444059","2.45454545454545","0.117185087198138","2.45454545454545","0.117185087198138","6.81818181818182","0.00902343881808032"
"Rhizobium_anhuiense","8181626.14478904","11248557.2889449","12074310.6092061","19558251.3386691","11702832.9206981","11484576.0036743","4994830.77779552","3153454.6620743","8013982.86436604","8896884.35275289","8702662.6190735","6629953.17518858","8763015.29970476","1560279.29421831","a","a","a","a","a","a","a","9.90095238095238","0.128885578531438","0.534545454545452","0.464702099940466","0.0109090909090934","0.916814948528079","3.15272727272727","0.0758001745823615","0.0981818181818157","0.754022530062078","0.272727272727273","0.60150813444059","2.45454545454545","0.117185087198138"
"Rhizobium_mesosinicum","0","0","385029.432732562","319693.768457556","385545.625596644","0","0","0","0","860951.984928191","444674.533929951","862106.227261779","0","0","a","a","a","a","a","a","a","6.70018348623857","0.349465961420732","1","0.317310507862914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sinorhizobium_medicae","49480552.0901011","0","0","145998007.971894","0","0","11090361.1656226","110641878.037685","0","0","202296928.239349","0","0","17180056.8853254","ab","b","b","a","b","b","ab","12.1605194805195","0.0584821332214888","1","0.317310507862914","1","0.317310507862914","1.67538461538462","0.195538859103995","1","0.317310507862914","1","0.317310507862914","0.148623853211005","0.69985393738163"
"Sinorhizobium_meliloti","0","0","0","18404249.502307","0","0","0","0","0","0","41153152.962025","0","0","0","a","a","a","a","a","a","a","6","0.423190081126844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
